iter	Passed	Remaining
0	277	277612
1	317	158404
2	357	118852
3	394	98265
4	430	85670
5	471	78158
6	511	72493
7	550	68226
8	592	65222
9	633	62678
10	679	61065
11	721	59383
12	759	57626
13	795	55991
14	832	54674
15	861	52984
16	900	52053
17	930	50741
18	953	49236
19	973	47706
20	997	46500
21	1017	45228
22	1036	44035
23	1055	42941
24	1130	44086
25	1170	43858
26	1199	43222
27	1217	42281
28	1237	41421
29	1260	40759
30	1283	40121
31	1304	39447
32	1329	38966
33	1351	38402
34	1375	37930
35	1401	37538
36	1425	37113
37	1446	36612
38	1465	36117
39	1482	35588
40	1506	35235
41	1529	34889
42	1551	34519
43	1576	34242
44	1595	33860
45	1613	33466
46	1689	34260
47	1722	34167
48	1746	33886
49	1761	33468
50	1778	33085
51	1794	32707
52	1841	32911
53	1865	32673
54	1891	32500
55	1912	32239
56	1933	31981
57	1957	31788
58	1981	31610
59	2009	31481
60	2029	31237
61	2046	30965
62	2062	30681
63	2077	30387
64	2095	30145
65	2113	29912
66	2130	29665
67	2151	29485
68	2168	29259
69	2186	29050
70	2203	28830
71	2220	28613
72	2236	28399
73	2252	28185
74	2268	27982
75	2283	27762
76	2297	27537
77	2312	27339
78	2331	27178
79	2347	26994
80	2361	26794
81	2375	26595
82	2389	26403
83	2404	26218
84	2420	26059
85	2436	25894
86	2450	25721
87	2465	25555
88	2480	25391
89	2493	25217
90	2509	25064
91	2527	24949
92	2543	24806
93	2558	24655
94	2575	24530
95	2590	24392
96	2603	24240
97	2620	24117
98	2635	23983
99	2651	23862
100	2667	23746
101	2683	23628
102	2698	23502
103	2716	23407
104	2736	23326
105	2799	23614
106	2834	23654
107	2857	23602
108	2873	23490
109	2890	23384
110	2909	23300
111	2928	23215
112	2944	23116
113	2960	23012
114	2976	22908
115	2993	22813
116	3010	22719
117	3025	22614
118	3043	22529
119	3059	22438
120	3074	22336
121	3091	22251
122	3113	22196
123	3128	22101
124	3145	22015
125	3160	21923
126	3175	21831
127	3193	21752
128	3209	21669
129	3225	21586
130	3240	21495
131	3257	21419
132	3274	21345
133	3292	21275
134	3310	21214
135	3326	21132
136	3342	21056
137	3359	20982
138	3374	20899
139	3390	20825
140	3407	20758
141	3423	20682
142	3437	20603
143	3453	20531
144	3468	20450
145	3482	20367
146	3496	20288
147	3514	20232
148	3533	20180
149	3554	20141
150	3577	20113
151	3596	20064
152	3617	20023
153	3636	19978
154	3660	19956
155	3677	19895
156	3730	20031
157	3756	20018
158	3772	19954
159	3789	19893
160	3806	19834
161	3821	19765
162	3836	19699
163	3852	19638
164	3869	19584
165	3885	19523
166	3901	19462
167	3919	19413
168	3935	19351
169	3951	19293
170	3972	19258
171	3989	19207
172	4006	19153
173	4023	19098
174	4039	19044
175	4055	18987
176	4121	19165
177	4168	19250
178	4186	19201
179	4203	19147
180	4219	19092
181	4236	19039
182	4251	18980
183	4267	18923
184	4284	18876
185	4299	18815
186	4316	18766
187	4331	18710
188	4350	18667
189	4369	18626
190	4386	18579
191	4405	18538
192	4421	18487
193	4439	18443
194	4455	18391
195	4471	18341
196	4486	18286
197	4503	18242
198	4519	18192
199	4536	18145
200	4554	18103
201	4569	18050
202	4585	18003
203	4601	17954
204	4617	17905
205	4631	17851
206	4646	17800
207	4664	17759
208	4679	17711
209	4696	17665
210	4712	17623
211	4726	17569
212	4743	17525
213	4761	17488
214	4780	17456
215	4796	17408
216	4813	17369
217	4829	17322
218	4846	17282
219	4861	17237
220	4876	17189
221	4893	17148
222	4910	17109
223	4925	17064
224	4942	17025
225	4962	16994
226	4978	16953
227	4992	16905
228	5010	16870
229	5025	16823
230	5041	16782
231	5056	16740
232	5073	16700
233	5089	16660
234	5108	16628
235	5122	16584
236	5141	16552
237	5161	16524
238	5176	16483
239	5191	16439
240	5208	16403
241	5223	16362
242	5239	16321
243	5254	16279
244	5269	16237
245	5285	16199
246	5300	16160
247	5317	16123
248	5332	16083
249	5351	16053
250	5374	16038
251	5439	16144
252	5481	16184
253	5500	16154
254	5515	16115
255	5535	16088
256	5551	16049
257	5565	16007
258	5580	15967
259	5595	15926
260	5611	15888
261	5628	15854
262	5643	15813
263	5657	15772
264	5673	15735
265	5688	15697
266	5705	15662
267	5722	15630
268	5740	15599
269	5758	15568
270	5773	15530
271	5788	15493
272	5805	15459
273	5819	15419
274	5835	15383
275	5850	15345
276	5865	15310
277	5880	15272
278	5894	15232
279	5909	15195
280	5924	15159
281	5942	15129
282	5958	15097
283	5977	15071
284	5994	15039
285	6014	15015
286	6034	14991
287	6053	14966
288	6071	14937
289	6088	14905
290	6105	14875
291	6122	14845
292	6138	14812
293	6154	14779
294	6169	14743
295	6184	14708
296	6199	14674
297	6217	14646
298	6232	14612
299	6249	14581
300	6266	14552
301	6282	14520
302	6299	14491
303	6316	14462
304	6334	14433
305	6356	14415
306	6377	14395
307	6399	14377
308	6420	14358
309	6439	14333
310	6459	14310
311	6481	14291
312	6499	14264
